id,text,created_at,lang
1.34578E+18,@4EvaEUropean Local Tesco's was fully stocked yesterday.,2021-01-03T17:23:21.000Z,en
1.34578E+18,@BrexitRw Asda is fine where I live and tesco but I support my local small shops not our big supermarkets.,2021-01-03T17:22:55.000Z,en
1.34578E+18,"@Tesco eerrr, Tesco. Can you explain why I went to Waltham Abbey for a click and collect, waited there for 40 minutes in the queue just to be told my order isn't here???? No notification of this beforehand????",2021-01-03T17:22:55.000Z,en
1.34578E+18,"@Morrisons In the circumstances, could you not reduce the minimum order value for click &amp; collect from £40 to something more like the £25 applicable for @asda and @Tesco ?
It'd really help to reduce number of people mixing instore, for those times when a big order isn't needed.",2021-01-03T17:22:51.000Z,en
1.34578E+18,"Tonight's tea, meat free hunters BBQ bake, courtesy of @Tesco #Veganuary #Veganuary2021 #Vegan #veganfood #veganfoodshare #veganfortheanimals https://t.co/WERL1Nkflx",2021-01-03T17:22:49.000Z,en
1.34578E+18,@yayanisme I think in tesco or giant gotlah yan. I've seen before but the price 💆🏽‍♀️,2021-01-03T17:22:35.000Z,en
1.34578E+18,@MissusVee @UmamiDublin My local Tesco was quite well stocked.  Definitely the time of year has a lot to do with it !,2021-01-03T17:22:32.000Z,en
1.34578E+18,"@agirlcalledlina No way he’s a Tesco shopper. 

Guaranteed he went to a coop or something small and local to him. Otherwise the majority would have verbally abused him",2021-01-03T17:22:28.000Z,en
1.34578E+18,@Tesco If there's plenty of stock and no shortage  why limit it .,2021-01-03T17:22:23.000Z,en
1.34578E+18,".
Brillianto Images Print Products | Flower #CanvasPrints

 from £15.39 | up to 40 x 30 inches (101 x 76 cm)

 We beat Aldi, Jessops and Tesco on price!

 #Violets, #Orchids and more! #flora #botany #artphotography 

 https://t.co/a1Oslzilw9
.",2021-01-03T17:22:10.000Z,en
1.34578E+18,@Tesco what happened to your Chicken Coronation sandwich? Missing that cheeky sandwich on the nan inspired bread.,2021-01-03T17:21:53.000Z,en
